[  2] 5000  Q:971607  E: 25498  H: 25498  D: 24104  I:24040  R: 2047  C:45224  L:  70K
*** crawling 554.3 pps @ 23.00789 Mbps
*** crawling 7264.0 pps @ 209.44377 Mbps
[ 95] 5000  Q:590171  E:404830  H:404830  D:350353  I:344418  R: 2883  C:59607  L:  91K
*** crawling 7228.0 pps @ 200.03036 Mbps
[ 97] 5000  Q:582948  E:412053  H:412053  D:356857  I:350746  R: 2883  C:59608  L:  91K
*** crawling 3611.5 pps @ 98.46857 Mbps
[ 99] 5000  Q:575786  E:419215  H:419215  D:363165  I:356849  R: 2883  C:59608  L:  91K
*** crawling 3581.0 pps @ 103.46236 Mbps
[101] 5000  Q:568602  E:426399  H:426399  D:369429  I:362905  R: 2883  C:59608  L:  91K
*** crawling 7184.0 pps @ 198.61771 Mbps
[103] 5000  Q:561611  E:433390  H:433390  D:375651  I:368959  R: 2883  C:59608  L:  91K
*** crawling 6991.0 pps @ 194.64192 Mbps
[105] 5000  Q:554615  E:440386  H:440386  D:382114  I:375254  R: 2883  C:59608  L:  91K
*** crawling 6996.0 pps @ 189.29552 Mbps
[107] 5000  Q:547675  E:447326  H:447326  D:388417  I:381354  R: 2883  C:59609  L:  91K
*** crawling 3470.0 pps @ 87.10806 Mbps
[109] 5000  Q:540838  E:454163  H:454163  D:394635  I:387373  R: 2883  C:59609  L:  91K
*** crawling 3418.5 pps @ 89.47012 Mbps
[111] 5000  Q:534124  E:460877  H:460877  D:400869  I:393437  R: 2883  C:59611  L:  91K
*** crawling 3357.0 pps @ 86.23333 Mbps
[118] 5000  Q:523317  E:471684  H:471684  D:410769  I:403031  R: 2883  C:59612  L:  91K
*** crawling 5403.5 pps @ 152.04387 Mbps
[120] 5000  Q:516662  E:478339  H:478339  D:417087  I:409174  R: 2883  C:59612  L:  91K
*** crawling 6655.0 pps @ 163.34464 Mbps
[122] 5000  Q:510097  E:484904  H:484904  D:423397  I:415278  R: 2883  C:59612  L:  91K
*** crawling 3282.5 pps @ 97.24580 Mbps
[124] 5000  Q:503534  E:491467  H:491467  D:429746  I:421436  R: 2883  C:59612  L:  91K
*** crawling 3281.5 pps @ 78.05086 Mbps
[126] 5000  Q:496908  E:498093  H:498093  D:436216  I:427740  R: 2883  C:59613  L:  91K
*** crawling 3313.0 pps @ 94.05293 Mbps
[128] 5000  Q:490590  E:504411  H:504411  D:442427  I:433802  R: 2883  C:59613  L:  91K
*** crawling 3159.0 pps @ 78.76807 Mbps
[131] 5000  Q:484104  E:510897  H:510897  D:448800  I:439986  R: 2883  C:59613  L:  91K
*** crawling 3243.0 pps @ 90.50130 Mbps
[133] 5000  Q:477672  E:517329  H:517329  D:455113  I:446097  R: 2883  C:59613  L:  91K
*** crawling 3216.0 pps @ 87.83076 Mbps
[135] 5000  Q:471241  E:523760  H:523760  D:461437  I:452251  R: 2883  C:59613  L:  91K
*** crawling 3215.5 pps @ 87.51267 Mbps
[137] 5000  Q:465010  E:529991  H:529991  D:467539  I:458162  R: 2883  C:59613  L:  91K
*** crawling 3115.5 pps @ 83.81176 Mbps
[139] 5000  Q:458768  E:536233  H:536233  D:473444  I:463874  R: 2883  C:59613  L:  91K
*** crawling 3121.0 pps @ 80.15339 Mbps
[141] 5000  Q:452592  E:542409  H:542409  D:479253  I:469504  R: 2883  C:59614  L:  91K
*** crawling 6176.0 pps @ 167.77975 Mbps
[143] 5000  Q:446461  E:548540  H:548540  D:484995  I:475040  R: 2883  C:59614  L:  91K
*** crawling 3065.5 pps @ 88.00802 Mbps
[145] 5000  Q:440275  E:554726  H:554726  D:490948  I:480789  R: 2883  C:59614  L:  91K
*** crawling 3093.0 pps @ 76.72149 Mbps
[147] 5000  Q:434252  E:560749  H:560749  D:496250  I:485892  R: 2883  C:59614  L:  91K
*** crawling 3011.5 pps @ 82.05828 Mbps
[149] 5000  Q:428214  E:566787  H:566787  D:501156  I:490607  R: 2883  C:59614  L:  91K
*** crawling 3019.0 pps @ 82.20650 Mbps
[151] 5000  Q:422282  E:572719  H:572719  D:505572  I:494767  R: 2883  C:59614  L:  91K
*** crawling 2966.0 pps @ 80.01324 Mbps
[153] 5000  Q:416300  E:578701  H:578701  D:509528  I:498528  R: 2883  C:59614  L:  91K
*** crawling 2991.0 pps @ 75.18523 Mbps
[155] 5000  Q:409122  E:585879  H:585879  D:514139  I:502918  R: 2883  C:59614  L:  91K
*** crawling 7178.0 pps @ 202.48976 Mbps
[157] 5000  Q:400321  E:594680  H:594680  D:520597  I:509040  R: 2883  C:59614  L:  91K
*** crawling 4400.5 pps @ 114.49107 Mbps
[159] 5000  Q:391085  E:603916  H:603916  D:528074  I:516129  R: 2883  C:59614  L:  91K
*** crawling 4618.0 pps @ 126.98260 Mbps
[161] 5000  Q:381233  E:613768  H:613768  D:536623  I:524321  R: 2883  C:59614  L:  91K
*** crawling 4926.0 pps @ 134.00174 Mbps
[163] 5000  Q:371131  E:623870  H:623870  D:544410  I:531768  R: 2883  C:59614  L:  91K
*** crawling 5051.0 pps @ 135.12036 Mbps
[165] 5000  Q:361625  E:633376  H:633376  D:549914  I:536973  R: 2883  C:59614  L:  91K
*** crawling 4753.0 pps @ 122.27421 Mbps
[167] 5000  Q:351985  E:643016  H:643016  D:554925  I:541644  R: 2883  C:59614  L:  91K
*** crawling 4820.0 pps @ 128.60051 Mbps
[169] 5000  Q:342604  E:652397  H:652397  D:561004  I:547259  R: 2883  C:59614  L:  91K
